epic,camp,glat,glon,ev,teff,teff_err,logg,logg_err,meh,feh,alpham,vmag,jk,numax,dnu,fdnu,kappa_m,mass,mass_err,kappa_r,radius,radius_err,ecc,ang_mom,tot_energy,alpha_flag,fdnu_flag
246236156,[11],-63.02128264299226,88.04717359222363,RGB,4820.105,8.496377,2.6968446,0.022521842,-0.094349,-0.088533,0.021705301,11.011190006137838,0.6619997024536097,74.976,6.94028142682995,1.0226804186662746,2.082151214104312,1.588940121208671,0.1113635297088166,9.242472464096647,8.446042328209797,0.2438733764886647,0.832966830613753,-0.0011756646762169,-2.6190103563184883,1,0.0
220464759,[6],-55.67507522657026,139.5934697916419,RGB,4902.3735,10.306231,2.096283,0.028898321,-0.6302,-0.64743,0.086236,9.796108945212413,0.6090002059936603,30.956,4.060995981786811,1.0344269751127677,1.2501383154462145,0.9785390837525112,0.0908090274306169,11.145505733075492,10.27164062780367,0.4407198769122288,0.942954490532496,0.0015685905653005,-2.679922859823705,1,0.0
211044578,[15],-19.21804757652988,171.8932309034583,RC,4889.636,9.036604,2.6008139,0.022995776,-0.12935,-0.12871,0.013898001,9.78027841081267,0.7259998321533203,40.608,4.690689008794338,0.9982404902912664,1.5854115988673565,1.2361390969763275,0.1940670149301452,10.95868341865891,10.086337238140526,0.5698527676291789,0.52555926009605,-0.0741705619039078,-2.290512644791075,1,0.0
247500118,"[18, 5]",-12.265684379614312,179.85448567998685,RC,4711.8066,8.51845,2.4476364,0.02301703,0.0081379,0.0021545999,0.0299539,12.87158432256465,0.8189992904662695,29.918,4.17835832610402,0.9994338964578928,1.0069983048582085,0.742711998684784,0.1653865201236783,10.17516021880914,9.193308272840072,0.8374292668118412,0.8930830692284943,0.0098537844000263,-2.5906459516432867,1,1.0
204978185,[14],15.553098188029232,0.1594561073938649,RC,4770.574,13.519062,2.4696944,0.032295875,-0.15651,-0.16237,0.092281,13.44307625304352,0.7420005798340004,27.96,3.7456104631623175,0.9994532805862713,1.2728430462125644,0.9564038726886426,0.075592558658122,11.833467140657545,10.758065060802664,0.3403309557259855,-999.0,-999.0,-999.0,1,0.0
206305769,[8],-46.61807121379824,51.001171094619366,RGB,4671.5205,7.5570073,2.5361605,0.022136165,-0.079481,-0.089395,0.0227114,10.156449902312014,0.7250003814697301,53.651,5.723210970962306,1.0297675073200874,1.6497883536742421,1.2012299126791246,0.0828493483829401,9.725644071944739,8.749522252021867,0.2955259078892385,0.6121511530714094,0.0453626974075064,-2.286275673724414,1,0.0
228778762,[2],55.14646126715876,299.53789583542385,RC,4934.6978,10.231697,2.4416614,0.027284581,-0.4987,-0.50931,0.279635,12.588014534570648,0.6110000610352007,31.429,4.398774512478616,0.9949727465457172,0.9504268134471984,0.7513115045063385,0.0532287263229984,9.644666705292126,8.917730505267366,0.2701756403197709,0.8653306077862393,-0.038788762264049,-2.1603282147358027,2,1.0
204719912,[10],14.311747134315045,359.61721510687715,RGB,4668.1465,9.759142,2.841787,0.024548555,0.17954,0.16162,0.01653,13.574116415179782,0.8050003051756995,82.826,7.998404215332973,1.0250111499996342,1.591257494622346,1.1573579361988864,0.0680104342368029,7.687410146613269,6.913359321576249,0.1896074499710526,0.5201817525346968,-0.0155214777005872,-2.621552043674132,1,0.0
204339408,[4],12.317442008639247,359.14410588009866,RGB,4612.4624,14.444009,2.3457143,0.04103974,-0.58589,-0.60137,0.267985,13.561227255679242,0.8409996032715004,23.43,3.643167647654597,1.0447032661837874,0.836862351590966,0.5978108666769233,0.1042133571814426,10.481755776637211,9.369950459805237,0.700607793393115,0.9436698340969192,0.0263888106646641,-2.4808735283434347,2,1.0
211390803,"[16, 5]",32.12539993887477,216.2153339224084,RGB,4827.914,9.033241,2.5312366,0.02498876,-0.32189,-0.3305,0.081019,12.794189998508392,0.6619997024536026,40.995,4.728057618947572,1.0291888430058886,1.5802122402908745,1.2088299900331094,0.1231276980241483,10.888935641654422,9.958685845312472,0.3439024716904127,0.8916424835882361,-0.0090748597774729,-2.5682504048608945,1,0.0
247523738,[10],-12.272358250113191,179.61839904679073,RC,4892.497,9.402263,2.4432535,0.024669843,-0.28356,-0.2882,0.03821,12.91248609477904,0.7910003662109997,37.654,4.342677432428776,0.99844633887411,1.7205086432912284,1.3426512704671238,0.0777728695155105,11.855395200362153,10.914859723852343,0.3000403321100261,0.8724311853246083,0.0027986952338938,-2.5908585802402624,1,0.0
206427217,[11],-46.34756990204058,54.14280209272627,RGB,4723.9614,8.010015,2.9015627,0.022984918,-0.15412,-0.16457,0.244385,11.580767840461817,0.6579999923706001,96.928,9.277907898095508,1.0271733229208546,1.4086442223141868,1.042968867807363,0.0235065833338855,6.686043516429013,6.048660482882905,0.056185535762763,0.9876346251138948,0.0150621350845368,-2.577288777972603,2,0.0
247567700,[13],-11.583069079097324,179.70743390677063,RGB,4858.7056,9.516224,2.45352,0.02641652,-0.43938,-0.44144,0.050142,12.919871775189549,0.7820005416870011,40.623,4.749616094495684,1.031520717089922,1.5098567307311497,1.1660767418869165,0.0583413968375201,10.69239610005913,9.81007144107114,0.2354666019765805,0.6940533730134499,-0.1135644565494776,-2.172290862252811,1,0.0
