epic,apogee,gaia_source,camp,ra,dec,glat,glon,ev,teff,teff_err,logg,logg_err,meh,meh_err,feh,feh_err,alpham,alpham_err,alpha_flags,vmag,vmag_err,jmag,kmag,jk,j_k_err,numax,numax_err,dnu,dnu_err,fdnu,fdnu_err,fdnu_flags,kappa_m,kappa_m_err,mass,mass_err,kappa_r,kappa_r_err,radius,radius_err,para,para_err,ecc,ecc_err,ang_mom,ang_mom_err,tot_energy,tot_energy_err,gaia_binary_flag
246298101,2M23024198-0306107,2636791168747080192,12,345.674945,-3.102991,-54.61,70.97,RGB,4669,7.9,2.66,0.024,-0.284,0.0067,-0.291,0.0078,0.217,0.0062,2,12.14,0.753,10.33,9.64,0.69,0.029,48.64,0.879,6.14,0.119,1.021,0.0032,0,0.93,0.088,0.67,0.09,7.66,0.328,6.89,0.295,0.78,0.018,0.11,0.0008,-1.921,0.0022,-1.261,0.001,0
205044013,2M16085563-1940341,6245720383622562816,2,242.231806,-19.676147,23.09,353.91,RC,4666,12.1,2.33,0.03,-0.011,0.0094,-0.019,0.0115,0.027,0.0078,1,13.2,0.938,11.07,10.28,0.79,0.033,25.84,0.119,3.84,0.115,0.987,0.0024,1,0.91,0.11,0.66,0.125,10.4,0.625,9.35,0.562,0.43,0.022,0.256,0.001,-1.112,0.0404,-1.512,0.0137,0
246138189,2M23213807-0618503,2631204202273225728,12,350.408638,-6.313974,-60.19,73.15,RC,4840,9.4,2.48,0.025,-0.246,0.0067,-0.254,0.0077,0.089,0.0065,1,12.15,0.863,10.42,9.77,0.65,0.033,32.37,0.629,4.06,0.064,0.998,0.0009,0,1.44,0.123,1.1,0.127,11.68,0.433,10.69,0.396,0.61,0.018,0.023,0.0008,-1.822,0.0056,-1.289,0.0008,0
220605471,2M00440197+0908470,2558003738913011712,8,11.008211,9.146414,-53.68,119.84,RGB,4697,8.2,2.77,0.025,-0.34,0.0068,-0.344,0.0079,0.259,0.0064,2,10.86,1.139,8.87,8.11,0.75,0.051,65.12,0.525,6.87,0.045,1.03,0.0007,0,1.42,0.051,1.04,0.05,8.2,0.126,7.4,0.114,1.72,0.019,0.829,0.0007,-0.293,0.0125,-1.524,0.0006,0
211144889,2M03561018+2520272,67096979828075520,4,59.042432,25.340895,-21.21,167.32,RC,4865,9.1,2.42,0.024,-0.249,0.0064,-0.249,0.0074,0.08,0.0062,1,10.53,0.748,8.7,8.01,0.69,0.033,32.41,0.816,4.13,0.114,0.999,0.0015,0,1.34,0.18,1.04,0.197,11.29,0.685,10.36,0.629,1.26,0.019,0.254,0.0005,-2.248,0.0022,-1.163,0.001,0
248418657,2M10385373+0018064,3806927928772886016,14,159.723879,0.301792,48.39,247.54,RGB,4704,12.1,2.36,0.035,-0.626,0.0102,-0.627,0.0115,0.308,0.0104,2,10.62,0.581,8.84,8.16,0.67,0.025,42.93,0.215,5.08,0.04,1.037,0.0008,0,1.36,0.048,1.0,0.052,9.88,0.163,8.92,0.148,1.41,0.023,0.441,0.0002,-1.381,0.0119,-1.335,0.0004,0
247472148,2M04581262+2158463,3412179997155515392,13,74.552613,21.979549,-12.75,179.76,RGB,4589,12.2,1.91,0.036,-0.462,0.011,-0.463,0.0129,0.058,0.0102,1,14.03,0.85,11.48,10.56,0.92,0.028,11.91,0.235,1.69,0.018,1.028,0.0021,0,2.37,0.173,1.67,0.15,24.72,0.718,22.03,0.64,0.23,0.02,0.065,0.002,-2.913,0.0785,-1.064,0.0135,0
210700153,2M03272307+1821551,55937280403247104,4,51.846143,18.365314,-30.86,167.0,RC,4958,10.3,2.44,0.027,-0.452,0.0069,-0.457,0.0076,0.101,0.0073,1,10.54,0.67,8.76,8.08,0.68,0.03,31.94,0.252,3.8,0.11,0.993,0.0008,0,1.79,0.211,1.42,0.262,13.12,0.766,12.15,0.71,1.08,0.019,0.088,0.0006,-1.966,0.0008,-1.265,0.0002,0
228790729,2M12443612-0709542,3676251835100720128,10,191.150512,-7.165062,55.67,299.92,RGB,4898,12.5,2.74,0.033,-0.673,0.009,-0.675,0.0099,0.288,0.01,2,14.61,1.107,12.8,12.12,0.69,0.035,65.39,0.422,7.12,0.082,1.022,0.0027,0,1.25,0.062,0.98,0.074,7.67,0.184,7.06,0.169,0.31,0.023,0.272,0.0088,-1.194,0.0441,-1.417,0.0044,0
248440525,2M10321665+0107311,3855302149722977792,14,158.069393,1.125306,47.71,244.97,RGB,4727,9.0,2.45,0.028,-0.625,0.0076,-0.631,0.0085,0.31,0.0079,2,10.62,0.755,8.82,8.14,0.68,0.034,43.78,0.56,5.19,0.028,1.036,0.0006,0,1.32,0.058,0.98,0.05,9.63,0.161,8.71,0.146,1.4,0.015,0.277,0.0002,-2.134,0.0058,-1.171,0.0023,0
220517407,2M01142939+0709565,2576841774711010304,8,18.622497,7.1657,-55.25,133.0,RGB,4739,8.3,2.63,0.024,-0.272,0.0066,-0.295,0.0077,0.183,0.0062,2,10.9,1.078,9.07,8.37,0.69,0.045,30.86,1.423,3.82,0.018,1.027,0.0013,0,1.57,0.22,1.17,0.166,12.53,0.59,11.35,0.534,1.1,0.02,0.123,0.0003,-1.831,0.0045,-1.294,0.0006,0
204388269,2M16224759-2231521,6051813708404059136,2,245.698305,-22.531153,18.77,353.96,RC,4795,8.3,2.48,0.022,-0.095,0.0061,-0.107,0.0072,0.028,0.0055,1,12.48,0.945,10.02,9.13,0.89,0.035,36.99,0.632,4.22,0.046,0.996,0.0006,0,1.82,0.123,1.38,0.118,12.31,0.341,11.21,0.311,0.76,0.018,0.071,0.001,-1.653,0.0086,-1.356,0.0026,0
246098759,2M23030208-0710049,2610590253333637120,12,345.758668,-7.16803,-57.46,65.77,RGB,4718,8.2,2.53,0.024,-0.253,0.0066,-0.257,0.0077,0.09,0.0061,1,12.16,0.809,10.33,9.63,0.7,0.031,44.67,1.288,5.09,0.085,1.029,0.0006,0,1.52,0.167,1.13,0.154,10.25,0.452,9.26,0.409,0.68,0.017,0.137,0.0008,-1.601,0.0095,-1.35,0.0016,0
